Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2753558,24/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000216,13276,10,152,161,1514.55,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753559,24/04/2020,BHIWANDI,BHIWANDI      ,BHANDUP,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD BHANDUP,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000218,15437,1,15,20,730.87,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753560,25/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000222,44624,4,59,63,793.25,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753561,25/04/2020,BHIWANDI,BHIWANDI      ,BHIWANDI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LTD BHIWANDI,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000223,240987,20,306,324,3273.97,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753562,25/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTORS,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000227,98116,18,223,239,2308.23,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753563,25/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000228,74739,13,159,172,1725.48,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753564,27/04/2020,BHIWANDI,BHIWANDI      ,KALBADEVI      ,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DIVYA ENTERPRISE GIRGAON,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000223,216885,50,630,674,6025.77,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753565,27/04/2020,BHIWANDI,BHIWANDI      ,KALBADEVI,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,DIVYA ENTERPRISE GIRGAON,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000226,92675,6,88,93,1129.35,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753566,27/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,KRISHNA DISTRIBUTOR THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000234,134061,23,282,307,2924.12,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753567,27/04/2020,BHIWANDI,BHIWANDI      ,THANE,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MALTI ENTERPRISES  THANE,,TBB,Cartons,,ELECTRONIC GOODS,BHIN0000232,80519,12,124,137,1457.04,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
